City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
235,Bambous Virieux,MU,73.22,scattered clouds,-20.3428,57.7575,Casa Tia Villa
239,Bengkulu,ID,83.41,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
240,Padre Paraiso,BR,65.89,overcast clouds,-17.0742,-41.4844,Pousada Três Irmãos
241,The Valley,AI,82.09,overcast clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
242,Mahebourg,MU,73.26,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
243,Cabedelo,BR,74.07,overcast clouds,-6.9811,-34.8339,Pousada Camboinha
244,Namibe,AO,66.87,few clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
248,Nagar Karnul,IN,75.18,overcast clouds,16.4821,78.3247,Sanjeevani Hills
249,Ha Giang,VN,75.88,overcast clouds,22.8333,104.9833,Truong Xuan Resort
253,Gladstone,AU,82.78,clear sky,-23.85,151.25,Highpoint International Hotel
255,Hervey Bay,AU,72.01,clear sky,-25.2986,152.8535,Shelly Bay Resort
257,Virginia Beach,US,67.01,overcast clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
258,Shintomi,JP,78.12,clear sky,32.0785,131.4723,ホテルスイート
259,Itoman,JP,88.18,few clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
260,Mudu,CN,80.33,overcast clouds,31.252,120.5118,Jinjiang Inn
261,Saint George,US,80.94,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
262,Cidreira,BR,60.73,overcast clouds,-30.1811,-50.2056,Hotel Castelo
264,Hasaki,JP,84.29,clear sky,35.7333,140.8333,Inubosaki Kanko Hotel
265,Sambava,MG,68.09,light rain,-14.2667,50.1667,Melrose
267,Xam Nua,LA,70.48,overcast clouds,20.4197,104.0439,Xee Wang Guesthouse
269,Dzilam Gonzalez,MX,76.03,broken clouds,21.2833,-88.9333,posadas
270,Bintulu,MY,88.21,few clouds,3.1667,113.0333,900 Boutique INN
271,Bubaque,GW,78.42,moderate rain,11.2833,-15.8333,"Casa Dora, Bubaque"
274,Berbera,SO,87.53,scattered clouds,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
276,Jiaojiang,CN,90.0,overcast clouds,28.6803,121.4428,Fangyuan Hotel
278,Port Augusta,AU,69.96,overcast clouds,-32.5,137.7667,Majestic Oasis Apartments
281,Lamia,GR,66.11,few clouds,38.9,22.4333,"Xydia, N., Bros S.A."
282,Iuna,BR,63.41,overcast clouds,-20.3458,-41.5358,Hotel São Judas Tadeu
284,Saint-Georges,GD,80.28,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
285,Portland,US,63.39,few clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
286,Katobu,ID,87.67,scattered clouds,-4.9408,122.5276,La Ode Husein
291,Saint-Pierre,RE,75.29,few clouds,-21.3393,55.4781,Alize Plage
293,Nanga Eboko,CM,64.92,broken clouds,4.6833,12.3667,Motel Papi Palace
295,Norsup,VU,82.17,clear sky,-16.0667,167.3833,Nabelchel Bungalows
296,Cockburn Town,TC,81.23,clear sky,21.4612,-71.1419,Osprey Beach Hotel
297,Kollam,IN,80.08,overcast clouds,8.8833,76.6,The Raviz Ashtamudi
301,Meulaboh,ID,74.7,overcast clouds,4.1363,96.1285,Kost Pria
302,Kokopo,PG,87.62,few clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
303,Kontagora,NG,71.44,light rain,10.3999,5.4695,Queens Guest Inn
305,Isangel,VU,79.14,overcast clouds,-19.55,169.2667,Tanna Lodge
306,Qujing,CN,63.19,overcast clouds,25.4833,103.7833,Yulong Hotel
