City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
185,Fort Nelson,CA,58.8053,-122.7002,49.59,71,20,2.3,smoke
186,Kapoeta,SS,4.7717,33.5903,72.41,78,74,5.57,light rain
187,Vestmannaeyjar,IS,63.4427,-20.2734,49.71,89,100,13.47,overcast clouds
188,Labuhan,ID,-6.8844,112.2051,88.18,58,99,7.07,light rain
189,Gagnoa,CI,6.1293,-5.9437,70.27,99,98,1.23,overcast clouds
190,Linxia,CN,35.6003,103.2064,69.8,40,100,4.25,overcast clouds
191,Egvekinot,RU,66.3167,-179.1667,26.83,69,17,1.19,few clouds
192,Bonavista,CA,48.6499,-53.1147,53.38,91,100,7.67,overcast clouds
193,Clyde River,CA,70.4692,-68.5914,26.83,100,100,10.36,light snow
194,Rocha,UY,-34.4833,-54.3333,46.44,94,91,1.16,overcast clouds
195,Antalaha,MG,-14.9003,50.2788,66.72,87,64,6.62,light rain
196,Mitsamiouli,KM,-11.3847,43.2844,73.69,68,20,2.3,few clouds
197,Texcoco,MX,19.5167,-98.8833,59.86,80,65,5.39,broken clouds
198,Thinadhoo,MV,0.5333,72.9333,80.47,75,75,8.59,broken clouds
199,Iqaluit,CA,63.7506,-68.5145,33.53,93,100,17.27,light snow
200,Denpasar,ID,-8.65,115.2167,83.86,79,75,5.75,broken clouds
201,Berlevag,NO,70.8578,29.0864,33.6,86,4,0.0,clear sky
202,Huarmey,PE,-10.0681,-78.1522,61.57,84,48,10.31,scattered clouds
203,Sur,OM,22.5667,59.5289,82.35,69,3,8.19,clear sky
204,Saint-Augustin,CA,51.226,-58.6502,44.71,74,97,12.66,overcast clouds
205,Mandalgovi,MN,45.7625,106.2708,56.88,35,79,13.76,broken clouds
206,Khatanga,RU,71.9667,102.5,29.16,93,100,5.61,overcast clouds
207,Nome,US,64.5011,-165.4064,42.87,70,75,14.97,broken clouds
208,Sosua,DO,19.7667,-70.5167,75.24,85,39,4.05,scattered clouds
209,Aklavik,CA,68.2191,-135.0107,29.79,93,16,9.93,few clouds
210,Aksarka,RU,66.5606,67.7975,29.52,70,15,7.72,few clouds
211,Salina Cruz,MX,16.1667,-95.2,79.03,64,80,21.68,broken clouds
212,Kisesa,TZ,-3.0833,34.15,66.43,57,47,5.86,scattered clouds
213,Buala,SB,-8.145,159.5921,85.5,66,19,8.08,few clouds
214,Constitucion,CL,-35.3333,-72.4167,50.43,91,61,3.51,broken clouds
215,Wattegama,LK,6.7989,81.4808,88.99,45,62,9.22,broken clouds
216,Jizan,SA,17.3333,42.6667,83.34,71,10,3.02,clear sky
217,Bilma,NE,18.6853,12.9164,85.3,35,8,7.7,clear sky
218,Porto Santo,PT,33.072,-16.3415,70.18,73,40,11.5,scattered clouds
219,Kruisfontein,ZA,-34.0033,24.7314,62.89,90,100,3.49,overcast clouds
220,Fukue,JP,32.6881,128.8419,79.16,61,20,11.5,few clouds
221,Pacifica,US,37.6138,-122.4869,71.15,85,0,13.8,clear sky
